Manipulated input,noise_level,step,K_11,K_12,K_21,K_22,tau_1,tau_2,tau_3,tau_4,delta_y_1,delta_y_2,delta_u_1,delta_u_2
0.0,0.0,0.1,0.27874729591549663,0.0,0.0,0.0,79.90720131977479,104.53659911883562,,,2.7857318885868807,-0.004520721044777076,10.0,12.0
0.0,0.0,0.25,0.2844945257450906,0.0,0.0,0.0,73.61996100427622,116.908529680526,,,7.108550892984006,0.005442641224618683,25.0,30.0
0.0,0.0,0.5,0.29286896778823607,0.0,0.0,0.0,70.39983591645085,129.0082156799705,,,14.632845432565205,-0.006111913686936532,50.0,60.0
1.0,0.0,0.1,0.0,0.0,0.0,0.2662229431118951,,,64.90167848855795,105.54532882901368,-0.0007038919185831105,3.1948630761431716,10.0,12.0
1.0,0.0,0.25,0.0,0.0,0.0,0.2725250688803615,,,65.1084629866381,112.024562982636,-0.00267771557436447,8.173927156806762,25.0,30.0
1.0,0.0,0.5,0.0,0.0,0.0,0.2827628761773781,,,62.348804829737425,125.6958963484266,0.007949701722090197,16.955069427671013,50.0,60.0
